#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᏅᏯ ᎤᎿ ᏕᏥ̣ᎪᏩᏘᎭ.	nvya-uhna			Rocks there, them I see.	
	ᏪᏌ ᎠᏂ ᏥᎪᏩᏘᎭ.	wesa-ahni			A cat here, it I see.	
	ᏪᏌ ᎤᎿ ᏥᎪᏩᏘᎭ.	wesa-uhna			A cat there, it I see.	
						
90	ᎠᎭᏫ.	ahawi	ahawi		A deer. Deer.	
	ᎠᏫ.	ahwi	ahawi		A deer. Deer.	
	ᎪᏪᎵ.	gohweli			A piece of paper.	
	ᏗᎪᏪᎵ.	digohweli			Pieces of paper. A book. Books.	
	ᎫᎴ.	gule			An acorn. Acorns.	
	ᏙᏯ.	doya			A beaver. Beaver.	
	ᏚᏯ.	tuya			A bean. Beans.	
	ᏥᏍᏚ.	jisdu			A rabbit. Rabbits.	
	ᏩᎭᏯ.	wahaya	wahaya	wahya-usdi; wahya-unsdi	A wolf. Wolves.	
	ᏩᏯ.	wahya	wahaya	wahya-usdi; wahya-unsdi	A wolf. Wolves.	
	ᏩᏯ ᎤᏍᏗ.	wahya-usdi		wahaya	A coyote. A little wolf.	
	ᏩᏯ ᎤᎾᏍᏗ.	wahya-unsdi		wahaya	Coyotes. Little wolves.	
						
91	ᎠᎨᏯᎾ?	agehyana			What about the woman?	
	ᏥᏍᏚᏍ ᎣᏍᏓ?	jisdus-osda			Is the rabbit good?	
	ᏙᏯ ᎣᏍᏓ.	doya-osda			A good beaver.	
	ᏅᏯᎾ?	nvyana			What about the rock?	
	ᎠᎨᏯ ᎤᏲᎢ.	agehya-uyoi			The woman is bad.	
	ᏩᏯᏍᎪ ᎤᏲᎢ?	wahyasgo-uyoi			Is the wolf bad?	
	ᎠᎭᏫᎾ?	ahawina			What about the deer?	
	ᏩᏯᏧ ᎤᏲᎢ?	wahyaju-uyoi			The wolf is bad, right?	
